"brokerage_name","apartment_id","latitude","longitude","date_available","bedrooms","beds_count","bathrooms","rent","city","state","area","neighborhood","metro_id","neighborhood_id","sub_neighborhood_id","metro_name","nbhd_name","sub_nbhd_name","source","zip","address","apply_token_url","exclusive_by","mls_id","status","hide_rb_cp","hide_partner_cp","is_featured","match_type","Scrape_Date"
"",2552717,42.3746937,-71.0408084,"2018-12-05",2,2,2,2400,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2552719,42.3746937,-71.0408084,"2018-11-27",2,2,2,2350,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2594449,42.3746937,-71.0408084,"2019-01-03",0,0,1,1797,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2552721,42.3746937,-71.0408084,"2018-12-31",1,1,1,2010,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2594450,42.3746937,-71.0408084,"2018-11-21",2,2,2,2437,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2552722,42.3746937,-71.0408084,"2018-12-01",1,1,1,1880,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2594452,42.3746937,-71.0408084,"2019-02-07",1,1,1,2022,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2594453,42.3746937,-71.0408084,"2018-12-14",2,2,2,2300,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2594454,42.3746937,-71.0408084,"2018-12-28",2,2,2,2275,"Boston","Massachusetts","Boston - Central Square","Central Square",4278,4275,0,"East Boston","Central Square",0,"Star Lord","02128","186 Border Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2268574,42.3672319,-71.0407704,"2018-11-23",1,1,1,2480,"Boston","Massachusetts","Boston - Central Maverick Square - Paris Street","Central Maverick Square - Paris Street",4278,16803,0,"East Boston","Central Maverick Square - Paris Street",0,"Star Lord","02128","50 Lewis Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2268582,42.3672319,-71.0407704,"2018-12-01",2,2,2,3625,"Boston","Massachusetts","Boston - Central Maverick Square - Paris Street","Central Maverick Square - Paris Street",4278,16803,0,"East Boston","Central Maverick Square - Paris Street",0,"Star Lord","02128","50 Lewis Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2268583,42.3672319,-71.0407704,"2018-12-01",1,1,1,2605,"Boston","Massachusetts","Boston - Central Maverick Square - Paris Street","Central Maverick Square - Paris Street",4278,16803,0,"East Boston","Central Maverick Square - Paris Street",0,"Star Lord","02128","50 Lewis Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
